content,score
"Fix bug lag, saya dah 2 kali kena bug ngelag, padahal jaringan dirumah aman aman aja. pola nya sama persis, ngelag di ping 22ms gak bisa gerak, lalu lama lama mentok di ping 200ms an, perlu nunggu lama lagi buat balik ke jaringan normal. Ngotak aja, 2 match ngelag dengan pola yang sama. Tolong segera perbaiki bug nya monton",1
"bukannya makin bagus, malah makin parah lag-nya ya tau, di setting ada mode speed & peningkatan jaringan. masalah nya setiap kali di aktif-kan selalu ga bisa! suka nonaktif sendiri tiap kali mau nyalain mode speed & peningkatan. ditambah lagi, kira tiap main permasalahan nya di signal sendiri, wifi, data lah. tapi ga! pas di cek signal bar penuh begitupun wifi & data pun pas di tes di youtube & game lain lancar² aj. gimana sih? tolong lah, walau hp merek A03s tapi udah lama lain, perbagus lagi.",1
"semenjak update di akhir bulan September, ada bug , yaitu di bagian notifikasi kill, yang awalnya ada animasi di notif kill nya, sekarang malah ngebug ( ga ada animasi nya) jadi tolong di fix, dan satu lagi, masalah jaringan kadang lag pas di in game, padahal sinyal bagus ga ada gangguan",3
"lagi main tiba tiba jaringan terputus sementara data hidup jaringan bagus , yang jadi masalah bukan sendiri , kami lagi Mabar berdua , dua dua nya terputus sementara beda jaringan dan operator , tapi kuota data dan jaringan stabil , dan bisa buka aplikasi lain , Kalo memang ada cheater tolong benahi lagi , udah relog menghubungkan kembali , kami tunggu sampir satu jam , setelah bisa kami buka profil dan. Cek hasil pertandingan,tapi hasil pertandingan nya hilang",1
"semenjak update malah suka ngelag pas di lobby ya?? baru aja login liat friend list ilang semua, mau cek profil muter terus, klaim box juga susah. tolong lah muntun perbaiki, jadi kebuang banyak waktu saya perihal ngelag gajelas padahal wifi 5g yang ngebut tapi tetep aja ngelag. sama pas draft pick udah selesai tiba tiba stuck dari hitungan mundur detik 15, 7, 2, bukan 5 atau 10 fps lagi inimah 1 frame per kapan kapan. tolong perbaiki masalah seperti ini, jadi ribet kalo mau ganti spell/emblem🙏",1
"buruk, selalu dapet tim yang ga seimbang, terus jg di kasih ga sesuai role keahlian dia, tapi tim musuh selalu bagus, kadang juga ketemu top player, sedangkan tim sendiri gada, jaringan tiba"" buruk padahal pake wifi sendiri. tolong solusinya jangan cuma di baca. terus ada yang melakukan feeding sampe mati 12, kill cuma 1, assist cuma 3, tapi gada melakukan kesalahan apa"", ini moonton ga adil, bisa di deteksi apa ga sih? masa lemah kali sistemnya gatau ada yang melakukan kesalahan. buruk.",2
"Bintang dua dulu, karena sering banget ngelag-ngelag pas pertarungan. Padahal jaringan bagus. Pas awal-awal juga lancar, tapi pas pertengahan permainan sampai akhir, suka ngelag-ngelag nggak jelas. Yang awalnya sudah kill banyak, hancurin turret banyak, akhirnya kalah karena gangguan itu.",2
"Game Rusak, sampah gajelas, kenapa sih jaringan nya bagus tiba tiba ga gerak, pdhl ga merah, lgian tuh jaringan aja gerak pas di tes hijau, ini pas lagi main tiba tiba ga gerak, apalagi di kondisi yang serius gitu, kan jadi ga enak, tolong di perbaiki, saya ga tau ada yg cheat atau masalah koneksinya, padahal baik baik saja, masa harus di aktifkan mode pesawat lalu di matikan kembali untuk mendapatkan jaringan?, rusak rusak!!!!",2
"woilah kocag, semenjak update dibulan September ini malah makin jelek dan aneh. Masa jaringan di hp bagus tapi di game malah “koneksi jaringan terputus” terus, loading screen juga ngestuck 30% nanti dianggap AFK. lag, patah-patah. ga suka amat sih, padahal jaringan di hp bagus dan lancar kenapa di game malah aneh? tolong lah dibenerin, capek nih main gitu terus. perbaiki noh loading screen ngestuck 30% itu + jangan patah-patah pas draft pick, jangan “koneksi jaringan terputus” terus, sekian.",2
"hallo admin mobile legend, diharapkan bisa memperbaiki sistem macthmacing nya, saya main duo, 3 tim random selalu saja mendapatkan pemula atau user yg tidak jago sama sekali, sedangkan musuhnya jago seperti orang yang sudah profesional turnamen, tolong perbaiki yah, ini game 5vs5 , tapi kalau dirasa tim saya jelek, sama aja seperti 2vs5 , dan itu tidak menguntungkan sama sekali, saya juga ingin menang untuk hiburan, bukan selalu kalah, sudah berjuang tapi ttep tidak bisa, setidaknya perbaiki",1
"wajib download sih ini game moba, seru banget, ulasan buruk:tapi kadang suka ngelag sendiri padahal jaringan nya bagus ulasan baik:game nya selalu menampilkan grafik yg bagus dan kadang setelah update mejadi lebih bagus. tapi saya minta tolong, saat mulai jangan di berikan lawan yg hebat , ehh teman malah drak sistem, tolong ya..",5
